Test Case ID,Module,Title,Priority,Type,Preconditions,Steps,Expected Result,Automated,Tags,AC Reference,API Endpoint
TC-MAN-001,Registration,Register new user with valid details,P1,Functional,User is not logged in; browser on SUT,1. Navigate to Register page | 2. Enter valid first name last name email password | 3. Submit registration form,User is registered successfully and redirected or shown success confirmation,N,@smoke @regression @ui,UI AC1,
TC-MAN-002,Login,Login with valid registered credentials,P1,Functional,User account exists from TC-MAN-001 or prior registration,1. Navigate to Login page | 2. Enter valid email and password | 3. Click Login,User is logged in and authenticated session is established,N,@smoke @regression @ui,UI AC1,
TC-MAN-003,Profile,Verify profile information after login,P1,Functional,User is logged in,1. Navigate to My Account or Profile section | 2. View profile details,Profile displays correct user information matching registration data,N,@smoke @ui,UI AC1,
TC-MAN-004,Products,Browse products listing page,P1,Functional,User on home or products page,1. Navigate to Products page | 2. Observe product list,Products page loads with visible product cards titles and prices,N,@smoke @ui,UI AC2,
TC-MAN-005,Cart,Add multiple different products to cart,P2,Functional,User logged in; products available,1. Browse products | 2. Add at least two different products to cart | 3. Open cart,Cart shows all added products with correct names and line items,N,@regression @ui,UI AC2,
TC-MAN-006,Cart,Update product quantity in cart,P2,Functional,User logged in; cart has at least one item,1. Open cart | 2. Increase quantity of one item | 3. Save or confirm update,Cart reflects updated quantity and adjusted totals,N,@regression @ui,UI AC2,
TC-MAN-007,Checkout,Complete Cash on Delivery checkout and view invoice,P1,Functional,User logged in; cart has items,1. Proceed to checkout from cart | 2. Fill billing details | 3. Select Cash on Delivery | 4. Press Confirm twice to generate invoice | 5. Navigate to My Invoices,Order completes successfully; invoice is visible under My Invoices,N,@regression @ui,UI AC2,
TC-MAN-008,Login,Login with invalid credentials,P2,Negative,User is not logged in,1. Navigate to Login page | 2. Enter invalid email or password | 3. Click Login,Login fails; error message displayed; user remains unauthenticated,N,@regression @ui,UI AC1,
TC-MAN-API-01,User API,Register new user via API,P1,Functional,API base URL reachable; unique email available,1. POST /users/register with valid UserRequest body (first_name last_name email password dob phone address) | 2. Observe response,HTTP 201; response contains user id email first_name last_name created_at,N,@smoke @regression @api,API AC1,POST /users/register
TC-MAN-API-02,User API,Login and obtain bearer token,P1,Functional,User registered in TC-MAN-API-01 or existing test user,1. POST /users/login with valid email and password | 2. Capture access_token from response,HTTP 200; access_token present; token_type bearer; expires_in returned,N,@smoke @regression @api,API AC1,POST /users/login
TC-MAN-API-03,Cart API,Create new cart with authentication,P1,Functional,Valid bearer token from login,1. POST /carts with Authorization Bearer token | 2. Observe response,HTTP 201; response returns cart id,N,@smoke @api,API AC1,POST /carts
TC-MAN-API-04,Product API,Retrieve products list,P1,Functional,API base URL reachable,1. GET /products | 2. Validate paginated response structure,HTTP 200; data array contains products with id name price in_stock fields,N,@smoke @api,API AC2,GET /products
TC-MAN-API-05,Cart API,Add in-stock product to cart,P2,Functional,Valid bearer token; cart_id from TC-MAN-API-03; in-stock product_id from GET /products,1. POST /carts/{id} with product_id and quantity | 2. Observe response,HTTP 200; result message item added or updated,N,@regression @api,API AC2,POST /carts/{id}
TC-MAN-API-06,Cart API,Verify cart contents after add item,P2,Functional,Product added in TC-MAN-API-05,1. GET /carts/{cartId} with bearer token | 2. Validate cart_items array,HTTP 200; cart_items contains added product_id and expected quantity,N,@regression @api,API AC2,GET /carts/{cartId}
TC-MAN-API-07,Invoice API,Generate invoice for cart Cash on Delivery,P1,Functional,Authenticated user; cart with items; valid billing payload,1. POST /invoices with billing fields payment_method cash-on-delivery cart_id payment_details {} | 2. Observe response,HTTP 200/201; invoice_number matches INV- pattern; total greater than 0,N,@regression @api,API AC2,POST /invoices
TC-MAN-API-08,User API,Reject request with invalid bearer token,P2,Negative,API base URL reachable,1. GET /users/me with Authorization Bearer invalid-token | 2. Observe response,HTTP 401 Unauthorized message returned,N,@regression @api,API AC1,GET /users/me
